Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
200,80,175,1,0.1
2000,80,1802,1,0.1
10000,80,8973,1,0.1
20000,80,18003,1,0.1
40000,80,36029,1,0.1
60000,80,54095,1,0.1
80000,80,72110,1,0.1
100000,80,90100,1,0.1
2,81,1,1,0.1
3,81,3,1,0.1
100,81,92,1,0.1
200,81,186,1,0.1
2000,81,1805,1,0.1
10000,81,9074,1,0.1
20000,81,18025,1,0.1
40000,81,36077,1,0.1
60000,81,54063,1,0.1
80000,81,71962,1,0.1
100000,81,90106,1,0.1
2,82,1,1,0.1
3,82,2,1,0.1
100,82,95,1,0.1
200,82,180,1,0.1
2000,82,1801,1,0.1
10000,82,8975,1,0.1
20000,82,17989,1,0.1
40000,82,35931,1,0.1
60000,82,54116,1,0.1
80000,82,71952,1,0.1
100000,82,90062,1,0.1
2,83,2,1,0.1
3,83,3,1,0.1
100,83,83,1,0.1
200,83,184,1,0.1
2000,83,1780,1,0.1
10000,83,9022,1,0.1
20000,83,18054,1,0.1
40000,83,35900,1,0.1
60000,83,54037,1,0.1
80000,83,71947,1,0.1
100000,83,90026,1,0.1
2,84,2,1,0.1
3,84,3,1,0.1
100,84,86,1,0.1
200,84,184,1,0.1
2000,84,1805,1,0.1
10000,84,9024,1,0.1
20000,84,17957,1,0.1
40000,84,36076,1,0.1
60000,84,53996,1,0.1
80000,84,71967,1,0.1
100000,84,89834,1,0.1
2,85,2,1,0.1
3,85,3,1,0.1
100,85,85,1,0.1
200,85,182,1,0.1
2000,85,1807,1,0.1
10000,85,8968,1,0.1
20000,85,18032,1,0.1
40000,85,35923,1,0.1
60000,85,54000,1,0.1
80000,85,71948,1,0.1
100000,85,89959,1,0.1
2,86,2,1,0.1
3,86,2,1,0.1
100,86,90,1,0.1
200,86,178,1,0.1
2000,86,1812,1,0.1
10000,86,9018,1,0.1
20000,86,18095,1,0.1
40000,86,36030,1,0.1
60000,86,54164,1,0.1
80000,86,72018,1,0.1
100000,86,89946,1,0.1
2,87,1,1,0.1
3,87,3,1,0.1
100,87,90,1,0.1
200,87,186,1,0.1
2000,87,1814,1,0.1
10000,87,8963,1,0.1
20000,87,17981,1,0.1
40000,87,36047,1,0.1
60000,87,54012,1,0.1
80000,87,71974,1,0.1
100000,87,90031,1,0.1
2,88,2,1,0.1
3,88,3,1,0.1
100,88,95,1,0.1
200,88,170,1,0.1
2000,88,1794,1,0.1
10000,88,8962,1,0.1
20000,88,18053,1,0.1
40000,88,35952,1,0.1
60000,88,54014,1,0.1
80000,88,71964,1,0.1
100000,88,89925,1,0.1
2,89,1,1,0.1
3,89,3,1,0.1
100,89,87,1,0.1
200,89,185,1,0.1
2000,89,1793,1,0.1
10000,89,9025,1,0.1
20000,89,18008,1,0.1
40000,89,36043,1,0.1
60000,89,54021,1,0.1
80000,89,71907,1,0.1
100000,89,89919,1,0.1
2,90,1,1,0.1
3,90,3,1,0.1
100,90,85,1,0.1
200,90,192,1,0.1
2000,90,1795,1,0.1
10000,90,9027,1,0.1
20000,90,18058,1,0.1
40000,90,36021,1,0.1
60000,90,53948,1,0.1
80000,90,71987,1,0.1
100000,90,90038,1,0.1
2,91,2,1,0.1
3,91,2,1,0.1
100,91,88,1,0.1
200,91,177,1,0.1
2000,91,1807,1,0.1
10000,91,8996,1,0.1
20000,91,18018,1,0.1
40000,91,35979,1,0.1
60000,91,54071,1,0.1
80000,91,71958,1,0.1
100000,91,90006,1,0.1
2,92,2,1,0.1
3,92,3,1,0.1
100,92,88,1,0.1
200,92,180,1,0.1
2000,92,1813,1,0.1
10000,92,8952,1,0.1
20000,92,17999,1,0.1
40000,92,36050,1,0.1
60000,92,54007,1,0.1
80000,92,72055,1,0.1
100000,92,89897,1,0.1
2,93,1,1,0.1
3,93,3,1,0.1
100,93,88,1,0.1
200,93,178,1,0.1
2000,93,1792,1,0.1
10000,93,9028,1,0.1
20000,93,17987,1,0.1
40000,93,36000,1,0.1
60000,93,53987,1,0.1
80000,93,71970,1,0.1
100000,93,90083,1,0.1
2,94,1,1,0.1
3,94,3,1,0.1
100,94,86,1,0.1
200,94,178,1,0.1
2000,94,1791,1,0.1
10000,94,9008,1,0.1
20000,94,18032,1,0.1
40000,94,36036,1,0.1
